Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
1100,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1200,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1300,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1400,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1500,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1600,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1700,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1800,0.0,1334271360.0,40087.88671875,-1.0986106395721436
1900,0.0,1334271360.0,40087.88671875,-1.0986106395721436
2000,0.0,1334271360.0,40087.88671875,-1.0986106395721436
2100,0.0,1334271360.0,40087.88671875,-1.0986106395721436
