Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,1934100224.0,48221.91796875,-1.0985850095748901
500,0.0,1934100224.0,48221.91796875,-1.0985850095748901
600,0.0,1934100224.0,48221.91796875,-1.0985850095748901
700,0.0,1934100224.0,48221.91796875,-1.0985850095748901
800,0.0,1934336384.0,48266.15234375,-1.0960538387298584
900,0.0,1934336384.0,48266.15234375,-1.0960538387298584
1000,0.0,1934336384.0,48266.15234375,-1.0960538387298584
1100,0.0,1934336384.0,48266.15234375,-1.0960538387298584
1200,0.0,1904836608.0,47633.9453125,-1.096470832824707
1300,0.0,1904836608.0,47633.9453125,-1.096470832824707
1400,0.0,1904836608.0,47633.9453125,-1.096470832824707
1500,0.0,1904836608.0,47633.9453125,-1.096470832824707
1600,0.0,1935490560.0,48056.1796875,-1.0932997465133667
1700,0.0,1935490560.0,48056.1796875,-1.0932997465133667
1800,0.0,1935490560.0,48056.1796875,-1.0932997465133667
