Step,Loss,Value Loss,Policy Loss,Entropy
100,4016417792.0,4707795347.2,0.0,-1.0985799998044967
200,3805941760.0,4682124979.2,0.0,-1.098538312315941
300,3643524352.0,4638626937.6,0.0,-1.0985586583614348
400,4565685248.0,4702008115.2,0.0,-1.098578605055809
500,4634333184.0,4722339859.2,0.0,-1.0985555440187453
600,3815880704.0,4617722912.0,0.0,-1.0984631925821304
700,3962305536.0,4781560012.8,0.0,-1.098417666554451
800,4146044928.0,4692467820.8,0.0,-1.098491397500038
900,4313858048.0,4786651104.0,0.0,-1.0984858721494675
1000,2688229376.0,3262455169.6,0.0,-1.0985710114240645
1100,3633576960.0,4611393862.4,0.0,-1.098573163151741
1200,4868040192.0,4712197401.6,0.0,-1.0985603511333466
1300,3746935296.0,4578185337.6,0.0,-1.098545190691948
1400,4612917248.0,4653313369.6,0.0,-1.098551720380783
1500,4566925312.0,4584640358.4,0.0,-1.0986007928848267
1600,3469769216.0,4709045433.6,0.0,-1.0986096799373626
