Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0
1500,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
1600,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
1700,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
1800,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
1900,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2000,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2100,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2200,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2300,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2400,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2500,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2600,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2700,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2800,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
2900,3799611648.0,17544130403.474285,0.0,-1.0985104615347725
