Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,794564608.0,2901418249.8461537,0.0,-1.098526989038174
400,794564608.0,2901418249.8461537,0.0,-1.098526989038174
500,794564608.0,2901418249.8461537,0.0,-1.098526989038174
600,806686400.0,2901300424.8615384,0.0,-1.098240838601039
700,806686400.0,2901300424.8615384,0.0,-1.098240838601039
800,806686400.0,2901300424.8615384,0.0,-1.098240838601039
900,780016448.0,2900776643.9384613,0.0,-1.0973487221277678
1000,780016448.0,2900776643.9384613,0.0,-1.0973487221277678
1100,780016448.0,2900776643.9384613,0.0,-1.0973487221277678
1200,787654016.0,2900384282.584615,0.0,-1.0961194895781003
1300,787654016.0,2900384282.584615,0.0,-1.0961194895781003
1400,810246336.0,2899835582.0307693,0.0,-1.0949421639625843
1500,810246336.0,2899835582.0307693,0.0,-1.0949421639625843
1600,810246336.0,2899835582.0307693,0.0,-1.0949421639625843
1700,800189120.0,2899151941.9076924,0.0,-1.0934293192166549
1800,800189120.0,2899151941.9076924,0.0,-1.0934293192166549
1900,800189120.0,2899151941.9076924,0.0,-1.0934293192166549
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,792689728.0,2901231264.4923077,0.0,-1.0985073722325838
400,792689728.0,2901231264.4923077,0.0,-1.0985073722325838
500,792689728.0,2901231264.4923077,0.0,-1.0985073722325838
600,808886720.0,2901158027.8153844,0.0,-1.098192499234126
700,808886720.0,2901158027.8153844,0.0,-1.098192499234126
800,808886720.0,2901158027.8153844,0.0,-1.098192499234126
900,788510016.0,2900644562.707692,0.0,-1.0971035517179049
1000,788510016.0,2900644562.707692,0.0,-1.0971035517179049
1100,788510016.0,2900644562.707692,0.0,-1.0971035517179049
1200,788178560.0,2900422358.646154,0.0,-1.0960687366815713
1300,788178560.0,2900422358.646154,0.0,-1.0960687366815713
1400,818439296.0,2899900674.953846,0.0,-1.0958458684957944
1500,818439296.0,2899900674.953846,0.0,-1.0958458684957944
1600,818439296.0,2899900674.953846,0.0,-1.0958458684957944
1700,805152512.0,2899169856.9846153,0.0,-1.0967687331713163
1800,805152512.0,2899169856.9846153,0.0,-1.0967687331713163
1900,805152512.0,2899169856.9846153,0.0,-1.0967687331713163
