Step,Loss,Value Loss,Policy Loss,Entropy
100,2613849344.0,2454659891.2,0.0,-1.0985146820545197
200,2462481920.0,2454968396.8,0.0,-1.0984471082687377
300,2605806080.0,2463433612.8,0.0,-1.0982504904270172
400,2390526720.0,2462604748.8,0.0,-1.0966506719589233
500,2364640256.0,2453748428.8,0.0,-1.0974466860294343
600,2479180032.0,2448695820.8,0.0,-1.0983003735542298
700,2223658752.0,2439802150.4,0.0,-1.0974387288093568
800,2395075584.0,2460749772.8,0.0,-1.0972983837127686
900,2323959552.0,2452044556.8,0.0,-1.0963455080986022
1000,2553326848.0,2442790067.2,0.0,-1.0939029991626739
1100,1995370880.0,2435763238.4,0.0,-1.0928484499454498
1200,2463168512.0,2450045414.4,0.0,-1.094388198852539
1300,2390675712.0,2452407283.2,0.0,-1.092859834432602
1400,2501824768.0,2426756454.4,0.0,-1.0942807912826538
1500,2675039232.0,2455395046.4,0.0,-1.095331257581711
1600,2142683008.0,2439197139.2,0.0,-1.0968846261501313
100,2174470912.0,2459151987.2,0.0,-1.0984007716178894
200,2212984576.0,2450481824.0,0.0,-1.098517507314682
300,2441690112.0,2458115328.0,0.0,-1.0980931520462036
400,2143701888.0,2456861299.2,0.0,-1.0982995688915254
500,2583803648.0,2464252838.4,0.0,-1.0985938787460328
600,2351042816.0,2450071129.6,0.0,-1.098275637626648
700,2402904832.0,2454817638.4,0.0,-1.0979920506477356
800,2285403392.0,2458601113.6,0.0,-1.0980497241020202
900,2458164224.0,2454609920.0,0.0,-1.0971066296100616
1000,2469441024.0,2452325542.4,0.0,-1.0965342044830322
1100,2342227456.0,2446480563.2,0.0,-1.093086725473404
1200,2385809408.0,2436248441.6,0.0,-1.0951342284679413
1300,2477000960.0,2452346048.0,0.0,-1.0962286829948424
1400,2541571840.0,2442743334.4,0.0,-1.0964025676250457
1500,2302653696.0,2437456960.0,0.0,-1.0965460598468781
1600,2430551552.0,2449266265.6,0.0,-1.0949522137641907
