Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,1274436608.0,38163.59375,-1.0985485315322876
200,0.0,1274367616.0,38130.46484375,-1.0984505414962769
300,0.0,1274640256.0,38111.953125,-1.0983575582504272
400,0.0,1274600576.0,38156.23046875,-1.0982543230056763
500,0.0,1274731520.0,38090.8828125,-1.098176121711731
600,0.0,1274609408.0,38149.21484375,-1.098089575767517
700,0.0,1274662016.0,38078.19140625,-1.0980521440505981
800,0.0,1274175488.0,38144.76171875,-1.0980839729309082
900,0.0,1274131584.0,38210.515625,-1.0980006456375122
1000,0.0,1274475904.0,38295.98046875,-1.0979819297790527
1100,0.0,1274329984.0,37933.1484375,-1.098120093345642
1200,0.0,1274851456.0,38169.25,-1.0980454683303833
1300,0.0,1274577280.0,38189.42578125,-1.0980185270309448
1400,0.0,1273614208.0,38025.90625,-1.0980215072631836
1500,0.0,1274058624.0,38227.98828125,-1.0979714393615723
1600,0.0,1274541312.0,37976.85546875,-1.0980143547058105
1700,0.0,1274594432.0,37977.3203125,-1.0979151725769043
1800,0.0,1275161088.0,38132.9375,-1.0977412462234497
1900,0.0,1274494848.0,38199.19921875,-1.0978283882141113
2000,0.0,1274629760.0,38078.25390625,-1.097826600074768
2100,0.0,1274557440.0,38020.50390625,-1.0978367328643799
2200,0.0,1274565760.0,38310.6015625,-1.097786545753479
2300,0.0,1275128064.0,38111.23828125,-1.0977351665496826
2400,0.0,1274513152.0,38200.75,-1.0976043939590454
2500,0.0,1274880384.0,38262.89453125,-1.0976165533065796
2600,0.0,1275220736.0,38123.84765625,-1.0976978540420532
2700,0.0,1274537216.0,38186.87109375,-1.0977665185928345
2800,0.0,1274914816.0,38075.1015625,-1.0978161096572876
2900,0.0,1274900096.0,38125.01171875,-1.0979300737380981
3000,0.0,1274983168.0,38032.46875,-1.0979996919631958
3100,0.0,1274888960.0,38317.8671875,-1.0980671644210815
3200,0.0,1274794240.0,38034.33984375,-1.0980663299560547
3300,0.0,1274629760.0,38047.86328125,-1.098063588142395
3400,0.0,1275644544.0,38077.9921875,-1.0979503393173218
3500,0.0,1275992448.0,37994.54296875,-1.0979219675064087
3600,0.0,1274644096.0,38118.0390625,-1.0979186296463013
3700,0.0,1274392192.0,38009.33203125,-1.0979219675064087
3800,0.0,1274693632.0,38227.9296875,-1.0979725122451782
3900,0.0,1274725376.0,38048.13671875,-1.0980565547943115
4000,0.0,1275327488.0,38081.46484375,-1.098088026046753
4100,0.0,1274141440.0,38187.75390625,-1.098008394241333
4200,0.0,1275317248.0,38082.30078125,-1.098075270652771
4300,0.0,1275496192.0,38066.32421875,-1.0980416536331177
4400,0.0,1275343360.0,38001.15234375,-1.0979785919189453
4500,0.0,1274653312.0,38074.08984375,-1.0979273319244385
4600,0.0,1274716416.0,38151.20703125,-1.0979317426681519
4700,0.0,1274974464.0,38223.390625,-1.0979164838790894
4800,0.0,1276539904.0,38200.76171875,-1.0979706048965454
4900,0.0,1276088960.0,38108.66015625,-1.0980294942855835
5000,0.0,1275866880.0,38219.83984375,-1.0979053974151611
5100,0.0,1275697664.0,38125.5234375,-1.0979677438735962
5200,0.0,1275830912.0,38062.1171875,-1.0978789329528809
5300,0.0,1275917440.0,38088.109375,-1.0979310274124146
5400,0.0,1277228928.0,38108.1953125,-1.0979422330856323
5500,0.0,1275829376.0,38092.66796875,-1.0978713035583496
5600,0.0,1274466816.0,38100.75390625,-1.0979571342468262
5700,0.0,1275699712.0,38173.4140625,-1.0980324745178223
5800,0.0,1275597824.0,38044.11328125,-1.098076343536377
5900,0.0,1274652672.0,38157.0703125,-1.098049521446228
6000,0.0,1275269760.0,38183.97265625,-1.0979893207550049
6100,0.0,1275596288.0,38112.23828125,-1.0980663299560547
6200,0.0,1275153920.0,38106.328125,-1.0980499982833862
6300,0.0,1276997504.0,38072.0546875,-1.0980777740478516
6400,0.0,1273289856.0,38133.49609375,-1.0980000495910645
6500,0.0,1276770560.0,37835.6796875,-1.0979361534118652
6600,0.0,1276089600.0,38122.484375,-1.0978089570999146
6700,0.0,1273532672.0,38120.40625,-1.0977503061294556
6800,0.0,1272921344.0,38074.390625,-1.0977482795715332
6900,0.0,1275464960.0,37902.921875,-1.0977238416671753
7000,0.0,1274251392.0,38171.8125,-1.0975971221923828
7100,0.0,1274192128.0,38215.2890625,-1.097730040550232
7200,0.0,1273560960.0,37920.54296875,-1.097776174545288
7300,0.0,1273996160.0,38356.59765625,-1.0977740287780762
7400,0.0,1276695552.0,38538.35546875,-1.097797155380249
7500,0.0,1273316352.0,37852.03515625,-1.0978364944458008
7600,0.0,1274548736.0,38259.88671875,-1.0978373289108276
7700,0.0,1276637312.0,38069.55859375,-1.0978820323944092
7800,0.0,1275006720.0,37977.5234375,-1.0978648662567139
7900,0.0,1274262528.0,37853.77734375,-1.0978658199310303
8000,0.0,1274688384.0,38293.3125,-1.097859263420105
8100,0.0,1273347712.0,37827.8046875,-1.0978379249572754
8200,0.0,1271896448.0,38062.12890625,-1.0977076292037964
8300,0.0,1272731008.0,37966.14453125,-1.097594141960144
