Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,575330560.0,4953633037.356522,0.0,-1.0973674321520155
900,575330560.0,4953633037.356522,0.0,-1.0973674321520155
1000,575330560.0,4953633037.356522,0.0,-1.0973674321520155
1100,575330560.0,4953633037.356522,0.0,-1.0973674321520155
1200,575330560.0,4953633037.356522,0.0,-1.0973674321520155
1300,575330560.0,4953633037.356522,0.0,-1.0973674321520155
1400,575330560.0,4953633037.356522,0.0,-1.0973674321520155
1500,573565440.0,4952528732.011594,0.0,-1.0828577297321265
1600,573565440.0,4952528732.011594,0.0,-1.0828577297321265
1700,573565440.0,4952528732.011594,0.0,-1.0828577297321265
1800,573565440.0,4952528732.011594,0.0,-1.0828577297321265
1900,573565440.0,4952528732.011594,0.0,-1.0828577297321265
2000,573565440.0,4952528732.011594,0.0,-1.0828577297321265
2100,573565440.0,4952528732.011594,0.0,-1.0828577297321265
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,576796032.0,4953572547.895652,0.0,-1.0985073253728341
900,576796032.0,4953572547.895652,0.0,-1.0985073253728341
1000,576796032.0,4953572547.895652,0.0,-1.0985073253728341
1100,576796032.0,4953572547.895652,0.0,-1.0985073253728341
1200,576796032.0,4953572547.895652,0.0,-1.0985073253728341
1300,576796032.0,4953572547.895652,0.0,-1.0985073253728341
1400,576796032.0,4953572547.895652,0.0,-1.0985073253728341
1500,592647360.0,4952929009.901449,0.0,-1.096745791297028
1600,592647360.0,4952929009.901449,0.0,-1.096745791297028
1700,592647360.0,4952929009.901449,0.0,-1.096745791297028
1800,592647360.0,4952929009.901449,0.0,-1.096745791297028
1900,592647360.0,4952929009.901449,0.0,-1.096745791297028
2000,592647360.0,4952929009.901449,0.0,-1.096745791297028
2100,592647360.0,4952929009.901449,0.0,-1.096745791297028
