Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0
1700,0.0,1441304832.0,41677.71875,-1.0985709428787231
1800,0.0,1441304832.0,41677.71875,-1.0985709428787231
1900,0.0,1441304832.0,41677.71875,-1.0985709428787231
2000,0.0,1441304832.0,41677.71875,-1.0985709428787231
2100,0.0,1441304832.0,41677.71875,-1.0985709428787231
2200,0.0,1441304832.0,41677.71875,-1.0985709428787231
2300,0.0,1441304832.0,41677.71875,-1.0985709428787231
2400,0.0,1441304832.0,41677.71875,-1.0985709428787231
2500,0.0,1441304832.0,41677.71875,-1.0985709428787231
2600,0.0,1441304832.0,41677.71875,-1.0985709428787231
2700,0.0,1441304832.0,41677.71875,-1.0985709428787231
2800,0.0,1441304832.0,41677.71875,-1.0985709428787231
2900,0.0,1441304832.0,41677.71875,-1.0985709428787231
3000,0.0,1441304832.0,41677.71875,-1.0985709428787231
3100,0.0,1441304832.0,41677.71875,-1.0985709428787231
3200,0.0,1441304832.0,41677.71875,-1.0985709428787231
