Step,Loss,Value Loss,Policy Loss,Entropy
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
1100,1743306368.0,1814243404.416,0.0,-1.098572746038437
1200,1743306368.0,1814243404.416,0.0,-1.098572746038437
1300,1743306368.0,1814243404.416,0.0,-1.098572746038437
1400,1743306368.0,1814243404.416,0.0,-1.098572746038437
1500,1743306368.0,1814243404.416,0.0,-1.098572746038437
1600,1743306368.0,1814243404.416,0.0,-1.098572746038437
1700,1743306368.0,1814243404.416,0.0,-1.098572746038437
1800,1743306368.0,1814243404.416,0.0,-1.098572746038437
1900,1743306368.0,1814243404.416,0.0,-1.098572746038437
2000,1743306368.0,1814243404.416,0.0,-1.098572746038437
2100,1743306368.0,1814243404.416,0.0,-1.098572746038437
