number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,9.919000000000045,2025-05-12 20:24:07.350955,2025-05-12 20:24:44.689965,0 days 00:00:37.339010,5.578235188614867e-06,0.8939028894188491,0.8137164865752712,2.4326975613230706e-05,0.4177801395410056,1052,0.7667414662136973,COMPLETE
1,9.919000000000045,2025-05-12 20:24:44.748439,2025-05-12 20:25:19.586857,0 days 00:00:34.838418,1.994573673785595e-06,0.9696683557693019,0.9626586735423291,0.00044235948539630065,0.8078719773243928,9,0.3020887174321064,COMPLETE
2,9.919000000000045,2025-05-12 20:25:19.611561,2025-05-12 20:26:01.528430,0 days 00:00:41.916869,2.7136350045990273e-06,0.8252418947328024,0.954956993606613,4.0661175185919945e-05,0.8231543216179589,1908,0.127771845553631,COMPLETE
3,9.919000000000045,2025-05-12 20:26:01.567779,2025-05-12 20:26:35.250645,0 days 00:00:33.682866,0.0007763827085207219,0.8044478044664579,0.940125731102028,0.0037065945136842597,0.8362446547882603,32,0.47459624766296793,COMPLETE
4,9.919000000000045,2025-05-12 20:26:35.278536,2025-05-12 20:27:10.494677,0 days 00:00:35.216141,4.120754246070804e-07,0.8689195734112481,0.8573909709888493,0.007533904152973585,0.5775464885556956,10,0.22685038344262426,COMPLETE
5,2.9292509130832562,2025-05-12 20:27:10.531011,2025-05-12 20:27:50.659974,0 days 00:00:40.128963,4.636571356348123e-07,0.9765250473682164,0.8429727842370154,2.8895177891545316e-05,0.7335194129802027,1423,0.16618958140191648,COMPLETE
6,9.919000000000045,2025-05-12 20:27:50.709185,2025-05-12 20:28:25.656740,0 days 00:00:34.947555,3.28673089934154e-08,0.9672709335826396,0.8685455215667683,2.2083570800027136e-05,0.6682010355130581,8,0.99369076434393,COMPLETE
7,9.919000000000045,2025-05-12 20:28:25.689835,2025-05-12 20:29:01.467757,0 days 00:00:35.777922,1.0663521690394292e-07,0.8429927642707062,0.8763879707686719,0.00021955590592458597,0.31696898514031413,63,0.7331286721803635,COMPLETE
8,9.919000000000045,2025-05-12 20:29:01.495159,2025-05-12 20:29:38.742739,0 days 00:00:37.247580,1.223632716470913e-05,0.9973069895218801,0.9759762675519146,0.00013175500664466225,0.7683782728163772,6,0.20110944272766756,COMPLETE
9,7.707095483989023,2025-05-12 20:29:38.788903,2025-05-12 20:30:31.275231,0 days 00:00:52.486328,0.00011796381506436329,0.8986729969410682,0.9771925053078775,0.008033457146109806,0.3681341356464515,63,0.18642599594993026,COMPLETE
10,9.919000000000045,2025-05-12 20:30:31.306191,2025-05-12 20:31:10.779293,0 days 00:00:39.473102,0.007103621288402237,0.9187967522518877,0.8071318151189378,1.084551297550152e-05,0.9957499010187814,439,0.7676232320535556,COMPLETE
11,9.919000000000045,2025-05-12 20:31:10.814213,2025-05-12 20:31:50.170531,0 days 00:00:39.356318,2.1237146251968293e-05,0.9371022282664198,0.9019825344810295,0.0012144480359527416,0.4924857204673162,289,0.415591939855312,COMPLETE
12,9.919000000000045,2025-05-12 20:31:50.241756,2025-05-12 20:32:30.693546,0 days 00:00:40.451790,2.0052488668204597e-06,0.8831419203172134,0.9176828427725888,0.0009002358952213463,0.47649567458380704,248,0.649706663174085,COMPLETE
13,7.806207564501373,2025-05-12 20:32:30.714688,2025-05-12 20:33:03.752905,0 days 00:00:33.038217,9.429979265377152e-05,0.936349037909914,0.8053650803089444,0.00011864018119877921,0.9497382922589055,25,0.8970959055857934,COMPLETE
14,7.350017983531566,2025-05-12 20:33:03.784680,2025-05-12 20:33:44.476616,0 days 00:00:40.691936,2.061928158190825e-06,0.8621607089938793,0.8353511801624135,0.0006717296751513366,0.5714011554779354,611,0.38307756939294846,COMPLETE
