number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,,2025-05-11 14:04:57.074568,2025-05-11 14:05:14.475352,0 days 00:00:17.400784,4.9977784576020674e-05,0.8095416739323011,0.9826458299696554,4.544748574572917e-05,0.5197325220169615,1859,0.895741577216853,FAIL
1,,2025-05-11 14:06:58.622914,2025-05-11 14:07:00.339826,0 days 00:00:01.716912,4.2980611623820097e-08,0.9053713462056574,0.8395247075987511,0.0006525508996679032,0.4986940349575499,18,0.34680339995103554,FAIL
2,0.9811896918695983,2025-05-11 14:08:54.923386,2025-05-11 14:09:22.906267,0 days 00:00:27.982881,1.776272484181917e-08,0.9701810912166132,0.9155902130762013,0.0014745178730099582,0.8442324331184838,79,0.4223635875040622,COMPLETE
3,1.0,2025-05-11 14:09:22.923057,2025-05-11 14:09:48.412509,0 days 00:00:25.489452,4.836279517089642e-05,0.9802936760367755,0.8828742980615952,0.0032564489984112264,0.8892528880054389,6,0.30298812418711957,COMPLETE
4,0.7332876663000789,2025-05-11 14:09:48.446219,2025-05-11 14:10:26.922858,0 days 00:00:38.476639,1.1732458018958524e-08,0.9685296904308194,0.8103341809814315,0.0006725806862185464,0.801475837325879,837,0.6840378360319895,COMPLETE
5,,2025-05-11 14:10:26.948064,2025-05-11 14:10:36.597760,0 days 00:00:09.649696,0.0019503494551939655,0.9820989806664504,0.8138823109256765,0.0001153909023046467,0.5282983177149579,174,0.5259601684703733,FAIL
6,,2025-05-11 14:18:39.440611,,,7.174929260952246e-08,0.9358906732479325,0.8219921377997969,0.0010081572817234737,0.4391982487921864,285,0.21198475659714686,RUNNING
7,,2025-05-11 14:18:44.691422,2025-05-11 14:18:44.773107,0 days 00:00:00.081685,4.079820221708799e-06,0.9116732998140001,0.9042106278538001,0.0008322916763643025,0.5533633078537792,1001,0.43768815217898993,FAIL
8,,2025-05-11 14:22:39.872965,2025-05-11 14:23:14.148944,0 days 00:00:34.275979,4.4742422439966926e-07,0.8721293108927943,0.8547799183877455,0.003415818747443115,0.5747550203371208,22,0.364381263691122,FAIL
9,,2025-05-11 14:28:50.892806,,,2.6980746773275006e-08,0.9496754153507082,0.848602634792089,3.5649553533186434e-05,0.9544873565785357,61,0.15680398738658374,RUNNING
10,,2025-05-11 14:31:03.141098,2025-05-11 14:31:39.328209,0 days 00:00:36.187111,9.577786966832668e-06,0.9691358961633183,0.9113902011438351,8.604265464239775e-05,0.3944807090899247,948,0.6620937417936736,FAIL
11,1.0,2025-05-11 14:35:38.878061,2025-05-11 14:36:31.133489,0 days 00:00:52.255428,1.9864338385421243e-06,0.8064463161274675,0.8688444810057339,0.0037381180206700095,0.6932871391357869,46,0.9215140964243788,COMPLETE
12,1.0,2025-05-11 14:36:31.165319,2025-05-11 14:37:42.760441,0 days 00:01:11.595122,1.2783291156185174e-08,0.8750809658314816,0.8229261307959832,0.0004489404901212107,0.5414255369557858,358,0.2910910363585879,COMPLETE
13,,2025-05-11 14:37:42.817888,2025-05-11 14:38:10.766342,0 days 00:00:27.948454,2.2777079266290534e-07,0.9279116895494535,0.8001100594453247,1.7671238899678564e-05,0.49370383634224546,571,0.16628378902730998,FAIL
14,,2025-05-11 14:42:19.260054,2025-05-11 14:43:22.432268,0 days 00:01:03.172214,0.000619971507998881,0.8612034813082837,0.9778352815193919,0.0006106391429693252,0.5716873356761472,26,0.7781509468201021,FAIL
15,,2025-05-11 14:47:05.892163,2025-05-11 14:47:43.707567,0 days 00:00:37.815404,1.1213639785682542e-08,0.916350468229452,0.9343791468890149,0.004824645938431052,0.40941495630462066,18,0.9131541769896423,FAIL
16,,2025-05-11 14:48:55.958825,2025-05-11 14:49:37.892556,0 days 00:00:41.933731,0.000142309990399382,0.9244980167488126,0.8767512297550545,0.004980102812425004,0.7132828752600529,37,0.7411620390557492,FAIL
17,1.0,2025-05-11 14:52:47.358350,2025-05-11 14:53:43.716956,0 days 00:00:56.358606,0.0013759966275845757,0.8732655893899248,0.8432195093463442,3.735676899216728e-05,0.6157208149319238,179,0.6239857721165538,COMPLETE
18,,2025-05-11 14:53:43.748770,2025-05-11 14:55:11.292990,0 days 00:01:27.544220,0.00017873785235198776,0.8229457725309456,0.9245154334108453,9.962960113367057e-05,0.8516412282395553,1474,0.6141460505589939,FAIL
