Time,Close,Volume,diferencia_media_125
2024-06-25,158.02252634014408,131543,-6.634935999999982
2024-06-26,158.06410608376436,152513,-7.189008000000001
2024-06-27,158.0962281743284,143086,-7.417767999999995
2024-06-28,158.11859791991571,175678,-7.578487999999993
2024-07-01,158.13092062860562,158888,-8.496752000000015
2024-07-02,158.13290160847762,127987,-8.473184000000003
2024-07-03,158.12424616761112,137195,-9.299168000000009
2024-07-04,158.1046596140856,103862,-9.074936000000008
2024-07-05,158.07384725598044,160227,-8.843312000000026
2024-07-08,158.0315144013751,149042,-8.595432000000017
2024-07-09,157.9774951815757,124319,-8.796640000000025
2024-07-10,157.91213902079556,112190,-9.398392000000001
2024-07-11,157.8359241664747,168635,-6.879847999999981
2024-07-12,157.7493288660531,218534,-6.293751999999984
2024-07-15,157.6528313669708,160893,-6.229464000000007
2024-07-16,157.54690991666766,144135,-6.55164000000002
2024-07-17,157.43204276258385,205351,-4.701175999999975
2024-07-18,157.3087081521593,210953,-5.202687999999995
2024-07-19,157.17738433283407,174377,-5.033999999999992
2024-07-22,157.03854955204815,177657,-4.612927999999982
2024-07-23,156.8926820572416,186050,-2.361768000000012
2024-07-24,156.7402600958543,230143,-0.2440960000000132
2024-07-25,156.58176191532635,275609,-0.3180799999999806
2024-07-26,156.41766576309772,228329,-0.24117599999999584
2024-07-29,156.2484498866085,238845,0.0624960000000101
2024-07-30,156.07459253329858,243800,1.5932880000000011
2024-07-31,155.896571950608,347988,4.466000000000008
2024-08-01,155.71486638597688,324692,5.664671999999996
2024-08-02,155.5299540868451,377735,6.964687999999995
2024-08-05,155.34231330065268,438634,8.893743999999998
2024-08-06,155.15242695368664,400463,8.952223999999973
2024-08-07,154.96079668762187,351319,6.477936
2024-08-08,154.7679288229802,368801,5.921344000000033
2024-08-09,154.57432968028343,299870,6.709736000000021
2024-08-12,154.38054624381684,263960,5.7995119999999645
2024-08-13,154.18728815291885,276532,5.281071999999995
2024-08-14,153.9953057106913,269549,4.479896000000025
2024-08-15,153.80534922023602,241545,2.928760000000011
2024-08-16,153.6181689846549,228253,3.9349440000000016
2024-08-19,153.43451530704962,265287,4.193679999999972
2024-08-20,153.2551384905221,256770,5.012160000000023
2024-08-21,153.08078883817413,290188,4.697271999999998
2024-08-22,152.91213049312177,222737,4.122247999999985
2024-08-23,152.7494829585379,240474,5.073720000000009
2024-08-26,152.5930354945105,217809,5.3619440000000225
2024-08-27,152.44280102873137,199882,5.642600000000016
2024-08-28,152.29874840579294,204830,5.85015199999998
2024-08-29,152.16084647028774,233328,6.005495999999994
2024-08-30,152.02906406680847,196112,5.173479999999984
2024-09-02,151.90337003994753,148345,3.973407999999978
2024-09-03,151.7837332342977,229794,5.985816
2024-09-04,151.67012249445133,244639,7.315128000000016
2024-09-05,151.56250666500102,234398,7.216871999999995
2024-09-06,151.46085459053944,273496,8.834343999999959
2024-09-09,151.36513511565906,224765,8.54479999999998
2024-09-10,151.27531708495243,206817,9.498279999999994
2024-09-11,151.19136934301216,276361,9.650824
2024-09-12,151.11326073443075,262734,9.290831999999995
2024-09-13,151.04091095325984,245325,10.284447999999998
2024-09-16,150.97404309138662,211310,9.68598399999999
2024-09-17,150.91233109015738,215253,7.909848000000011
2024-09-18,150.8554488909184,239797,7.953304000000003
2024-09-19,150.80307043501588,280799,6.8939359999999965
2024-09-20,150.75486966379626,264078,5.447839999999985
2024-09-23,150.7105205186056,231241,6.500864000000007
2024-09-24,150.6696969407902,225760,5.908048000000008
2024-09-25,150.6320728716964,225889,4.854256000000021
2024-09-26,150.59732225267044,237049,4.143815999999987
2024-09-27,150.56511902505855,282276,7.229135999999983
2024-09-30,150.53513713020706,254782,5.970439999999996
2024-10-01,150.50705050946215,264177,6.966216000000031
2024-10-02,150.48062088471556,233491,4.054423999999983
