number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,,2025-05-12 00:45:38.433699,2025-05-12 00:54:12.018179,0 days 00:08:33.584480,0.0011391168904556696,0.8731736857803133,0.8743396723193984,1.3890552048822902e-05,0.9907282458713906,292,0.21887966714635929,FAIL
1,,2025-05-12 10:02:23.189012,2025-05-12 10:03:17.970799,0 days 00:00:54.781787,6.890931431330694e-05,0.9281343896572876,0.8589112588897087,1.0671185895550457e-05,0.5538006208677715,454,0.11776731025070372,FAIL
2,,2025-05-12 10:05:48.969501,2025-05-12 10:08:58.697397,0 days 00:03:09.727896,0.005765851298308253,0.9779006659616974,0.8420543620344644,0.0008985969796049269,0.49764789823562183,14,0.9879425416499927,FAIL
3,,2025-05-12 10:27:04.326119,,,0.0014259634181530703,0.88942818917617,0.8647230743758417,2.1202114176773187e-05,0.6497904101155245,744,0.5911289469440079,RUNNING
4,0.0,2025-05-12 10:39:34.430689,2025-05-12 10:44:27.353943,0 days 00:04:52.923254,0.00012190646632710731,0.8350097556518249,0.8532678936505137,0.005308106217146459,0.33799677181368,8,0.7566988418633485,COMPLETE
5,0.0,2025-05-12 10:44:27.635232,2025-05-12 10:54:45.714192,0 days 00:10:18.078960,1.0745831197679598e-05,0.8497369623897018,0.8238202058385516,0.0015309846884875038,0.6807379817472566,5,0.3882836109743443,COMPLETE
6,0.0,2025-05-12 10:54:45.911851,2025-05-12 10:59:28.075527,0 days 00:04:42.163676,0.0001193305837361831,0.8920001012140909,0.856449661321409,0.00030502908736724924,0.5644189144624441,1366,0.7206212298693746,COMPLETE
7,-160.91999999999987,2025-05-12 10:59:28.443912,2025-05-12 11:00:42.482353,0 days 00:01:14.038441,1.1551824548339269e-06,0.9614751627173728,0.9577945740278088,0.0003481699849149053,0.9263554323574141,22,0.363855181684942,COMPLETE
8,0.0,2025-05-12 11:00:42.731272,2025-05-12 11:01:52.482340,0 days 00:01:09.751068,0.002133223662374562,0.9336479704919406,0.972807758944331,0.002658678873502109,0.8437237951523979,5,0.8447304509056246,COMPLETE
9,-0.38146666666666595,2025-05-12 11:16:19.922239,2025-05-12 11:35:29.609538,0 days 00:19:09.687299,0.00014825068468666164,0.8948840541550334,0.8110162893671521,7.459095983399806e-05,0.36192502136650867,27,0.23056727464508225,PRUNED
10,,2025-05-12 11:35:29.683136,,,6.804205220130171e-05,0.946532527287177,0.8510529546687847,0.009624214070333587,0.8251075558461698,749,0.6062072390143235,RUNNING
11,,2025-05-12 11:37:36.073918,2025-05-12 11:38:26.565006,0 days 00:00:50.491088,0.0033135431078613027,0.8003034085818057,0.9035116328218138,0.0017571761388637589,0.5130557880929765,30,0.914011191971029,FAIL
12,,2025-05-12 11:43:13.249706,,,0.000377292804820136,0.9291213401217561,0.9465316837392792,0.002624731978357688,0.6373448853770877,56,0.8045295285857527,RUNNING
13,-804.6000000000003,2025-05-12 12:25:43.980961,2025-05-12 12:31:19.012296,0 days 00:05:35.031335,7.012854694033273e-07,0.9815377805961994,0.8447535923375777,3.694718596520266e-05,0.9456060187721758,112,0.20468275345760917,COMPLETE
14,-804.6000000000003,2025-05-12 12:31:19.489988,2025-05-12 12:36:06.861132,0 days 00:04:47.371144,0.0005248317277388747,0.8690219551034154,0.9778968400203186,0.0011973267410936698,0.580704671270439,429,0.4332699393316871,COMPLETE
15,-5004.999999999934,2025-05-12 12:36:07.195814,2025-05-12 12:38:03.751123,0 days 00:01:56.555309,0.002515504494056628,0.8545728009164256,0.9149552648930502,0.003851816160291804,0.8665136756233951,28,0.45782295152604413,COMPLETE
16,0.0,2025-05-12 12:38:04.062902,2025-05-12 12:41:59.763667,0 days 00:03:55.700765,0.00393971415076,0.9931221550926772,0.9698079482814683,0.0005052501917234345,0.3421066480807127,7,0.6429937840236454,COMPLETE
17,0.0,2025-05-12 12:41:59.964633,2025-05-12 12:44:59.140518,0 days 00:02:59.175885,8.10423485456831e-08,0.8190034377695501,0.8905249093975192,0.009596741101143735,0.4470355325582582,103,0.9908530368528473,COMPLETE
