Algorithm,Learning Rate,Gamma,N Steps,Ent Coef,VF Coef,Max Grad Norm,RMS Prop Eps,Train Data,Filtered,Normalized
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,10.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,30.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,30.csv,True,True
