Time,Close,Volume,diferencia_media_150
2019-05-28,1.26523,76486,0.028038866666666662
2019-05-29,1.26259,71280,0.030567999999999707
2019-05-30,1.26091,59473,0.03218373333333324
2019-05-31,1.26302,75088,0.0299836
2019-06-03,1.26633,75463,0.026451133333333265
2019-06-04,1.26995,85257,0.022653400000000046
2019-06-05,1.26812,83522,0.02424240000000011
2019-06-06,1.26916,88498,0.022927133333333405
2019-06-07,1.27374,80893,0.01808726666666649
2019-06-10,1.2686,76532,0.022977666666666785
2019-06-11,1.27226,89610,0.01915139999999993
2019-06-12,1.26884,90534,0.022463800000000145
2019-06-13,1.26737,77955,0.02373746666666654
2019-06-14,1.25902,81726,0.031821266666666626
2019-06-17,1.25327,57906,0.03741266666666654
2019-06-18,1.25571,85683,0.03479426666666652
2019-06-19,1.2643,83618,0.026065333333333385
2019-06-20,1.27032,102819,0.01998986666666669
2019-06-21,1.27459,92029,0.01569906666666654
2019-06-24,1.27392,68665,0.016277933333333383
2019-06-25,1.26884,78102,0.021280266666666714
2019-06-26,1.26854,93233,0.021498533333333514
2019-06-27,1.26701,85008,0.022980933333333287
2019-06-28,1.26958,78478,0.020325733333333318
2019-07-01,1.26374,78028,0.02606799999999998
2019-07-02,1.25931,72736,0.030390933333333425
2019-07-03,1.25724,62984,0.03236013333333343
2019-07-04,1.25776,47516,0.0317483999999999
2019-07-05,1.25198,64626,0.03738639999999993
2019-07-08,1.25167,50696,0.037518199999999835
2019-07-09,1.246,56599,0.04300573333333313
2019-07-10,1.25048,77399,0.038488999999999995
2019-07-11,1.2526,76399,0.03639433333333342
2019-07-12,1.25769,73574,0.0312718666666667
2019-07-15,1.25162,51352,0.03724740000000004
2019-07-16,1.24062,65320,0.0481280666666668
2019-07-17,1.24321,62208,0.04541660000000003
2019-07-18,1.25469,71741,0.033874533333333234
2019-07-19,1.25052,61402,0.03797419999999985
2019-07-22,1.24754,53047,0.04083199999999998
2019-07-23,1.24394,62228,0.04430059999999991
2019-07-24,1.24837,59032,0.03972846666666685
2019-07-25,1.24543,69717,0.04254853333333353
2019-07-26,1.23836,54117,0.04944500000000018
2019-07-29,1.22176,58221,0.06572633333333333
2019-07-30,1.21491,77044,0.07218273333333336
2019-07-31,1.2161,88905,0.07069346666666654
2019-08-01,1.21298,100117,0.07347513333333322
2019-08-02,1.21593,101365,0.07014779999999998
2019-08-05,1.21396,99295,0.07169466666666668
2019-08-06,1.21687,95942,0.06842100000000029
2019-08-07,1.21425,92977,0.07061019999999996
2019-08-08,1.21346,74376,0.07098933333333335
2019-08-09,1.20255,69941,0.08135913333333322
